"Abbreviation","Species","MWMT_overlap","CMD_overlap","Relative_frequency"
"Classq","Cladonia_squamosa_v_subsquamosa",0.869432571293866,0.971744232776651,0.008
"Clasul","Cladonia_sulphurina",0.827480851857545,0.688136904962887,0.006
"Clatra","Cladonia_transcendens",0.852714947677667,0.889508029875615,0.035
"Claumb","Cladonia_umbricola",0.647710018863472,0.599776310800341,0.02
"Claver","Cladonia_verruculosa",0.860860303242209,0.915884375174015,0.003
"Cndcon","Candelaria_concolor",0.782962978925693,0.740964404066501,0.164
"Cndfib","Candelaria_fibrosa",0.453142031934068,0.630355087851228,0.005
"Cndpac","Candelaria_pacifica",0.573247816136749,0.475638541297931,0.023
"Cocery","Coccocarpia_erythroxyli",0.132799992896984,0.0640821439947397,0
"Cocpal","Coccocarpia_palmicola",0.795187696600026,0.736921306239735,0.002
"Colcon","Enchylium_conglomeratum",0.576419701017424,0.219157368017698,0.002
"Colcur","Collema_curtisporum",0.396438170757381,0.254815309337124,0.001
"Colfur","Collema_furfuraceum",0.77571985417967,0.653172883780381,0.019
"Colnig","Collema_nigrescens",0.738408310112583,0.65835985232264,0.011
"Colocc","Rostania_occultata",0.570614149468707,0.239772083666929,0
"Colsub","Collema_subflaccidum",0.77414207939368,0.698766837264942,0.006
"Dirapp","Dirinaria_applanata",0.0661961894229393,0.429937289107015,0
"Dircon","Dirinaria_confusa",0.456205891171566,0.595676663460581,0
"Dirpic","Dirinaria_picta",0.140488524876435,0.472040749028626,0
"Dscint","Dendriscocaulon_intricatulum",0.913700789346371,0.694952292445612,0.002
"Erisor","Erioderma_sorediatum",0.776740381646053,0.621602011379658,0.002
"Essida","Esslingeriana_idahoensis",0.849850228758771,0.884221782248404,0.041
"Evediv","Evernia_divaricata",0.56345837507036,0.660545579405338,0.003
"Evemes","Evernia_mesomorpha",0.639087024034818,0.816952000513795,0.093
"Evepru","Evernia_prunastri",0.770137520366272,0.729939565024184,0.125
"Evscat","Hypotrachyna_catawbiensis",0.486534229273898,0.637149566049831,0.001
"Flabal","Flavoparmelia_baltimorensis",0.655143862690597,0.705792193128359,0.003
"Flacap","Flavoparmelia_caperata",0.833655577511657,0.808824113645213,0.239
"Fpudar","Flavopunctelia_darrowi",0.735672546883632,0.630384315005691,0.002
"Fpufla","Flavopunctelia_flaventior",0.894570014938524,0.890287222826413,0.036
"Fpupra","Flavopunctelia_praesignis",0.859504271677968,0.772476757396323,0.004
"Fpusor","Flavopunctelia_soredica",0.921287679755268,0.755097384567177,0.074
"Fuslac","Fuscopannaria_laceratula",0.762519466718344,0.655609225788363,0.006
"Fusram","Fuscopannaria_ramulina",1.59948985807429e-16,3.52581028717662e-16,0
"Hetalb","Heterodermia_albicans",0.654862343264315,0.697147930691678,0.012
"Hetapp","Heterodermia_appalachensis",0.0121212392429605,0.0209391213965449,0
"Hetbar","Heterodermia_barbifera",0.0146811230078698,0.0106229621357834,0
"Hetcas","Heterodermia_casarettiana",0.785250820924835,0.809843844139058,0.004
"Hetech","Heterodermia_echinata",0.486533677348868,0.607275993323904,0
"Hetgal","Heterodermia_galactophylla",0.0322498514974621,0.0123154306578592,0
"Hetgra","Heterodermia_granulifera",0.598450658777418,0.497171246038593,0.003
"Hethyp","Heterodermia_hypoleuca",0.818667318334128,0.769203010374644,0.003
"Hetjap","Heterodermia_japonica",0.320175986695957,0.577329164790618,0.001
"Hetleu","Heterodermia_leucomela",0.867959727778649,0.847342566577754,0.002
"Hetobs","Heterodermia_obscurata",0.738051764289031,0.909885040150612,0.042
