"","V1","V2","V3"
"MWMT_05",0.0192027701003644,0.0621206735683161,0.0248957907556814
"CMD_05",0.0143327402068978,0.0809503319671201,0.0225379660096086
"MWMT_10",0.0445587059348245,0.118328119477924,0.0497930510502853
"CMD_10",0.0323884603531849,0.14198491638441,0.0451356608679896
